,City,Temperature,Humidity,Cloudiness,Wind Speed,Lat,Lng
0,Port Elizabeth,66.49,55,0,3.44,-33.918,25.5701
1,Chui,45.73,77,72,9.1,-33.6971,-53.4616
2,Celestún,76.35,89,100,8.52,20.8667,-90.4
3,Rikitea,76.08,85,100,17.81,-23.1203,-134.9692
4,Cap Malheureux,78.48,63,100,11.99,-19.9842,57.6142
5,Jalu,80.49,45,0,11.74,29.0331,21.5482
6,Hilo,71.89,90,75,3.44,19.7297,-155.09
7,Kruisfontein,69.57,30,55,6.42,-34.0033,24.7314
8,New Norfolk,54.34,86,100,3.0,-42.7826,147.0587
9,Rio Grande,47.48,66,96,10.92,-32.035,-52.0986
10,Cherskiy,48.24,52,0,9.8,68.75,161.3
11,Torbay,43.84,86,75,13.8,47.6666,-52.7314
12,Atuona,79.43,74,31,15.12,-9.8,-139.0333
13,Santa Rosa de Viterbo,57.67,97,100,1.72,-21.4728,-47.3631
14,Airai,64.98,82,100,3.22,-8.9266,125.4092
15,Deputatsky,59.92,51,100,20.33,69.3,139.9
16,Bambous Virieux,77.25,65,75,17.27,-20.3428,57.7575
17,Bethel,61.14,86,90,0.0,41.3712,-73.414
18,Hong Kong,86.77,81,100,8.01,22.2855,114.1577
19,Lakes Entrance,56.17,86,100,14.27,-37.8811,147.981
20,Mar del Plata,42.82,93,0,4.61,-38.0023,-57.5575
21,Laguna,63.95,71,1,1.01,38.421,-121.4238
22,Mayumba,78.15,87,96,1.07,-3.432,10.6554
23,Ancud,53.13,96,100,7.43,-41.8697,-73.8203
24,Saint Paul Harbor,51.31,71,40,9.22,57.79,-152.4072
25,Chadiza,67.84,43,0,6.87,-14.0678,32.4392
26,Khatanga,48.06,48,100,4.07,71.9667,102.5
27,Ushuaia,40.66,81,90,3.44,-54.8,-68.3
28,Talara,67.5,81,7,13.94,-4.5772,-81.2719
29,Brownwood,74.55,75,72,6.42,31.7093,-98.9912
30,Krasnoarmiys'k,70.34,67,80,8.66,48.282,37.1758
31,Hermanus,60.91,63,100,1.23,-34.4187,19.2345
32,Faanui,79.79,78,61,12.46,-16.4833,-151.75
33,Villa Sandino,72.41,97,100,4.47,12.0483,-84.9936
34,Hasaki,77.79,72,32,14.36,35.7333,140.8333
35,Zhigansk,58.28,36,75,10.71,66.7697,123.3711
36,Butaritari,83.32,74,34,11.1,3.0707,172.7902
37,Hobart,55.31,95,75,1.01,-42.8794,147.3294
38,Ilulissat,35.98,90,67,3.22,69.2167,-51.1
39,Ponta do Sol,69.3,75,0,3.53,32.6667,-17.1
40,Sokolo,87.49,44,67,9.44,14.7328,-6.1219
41,Vaini,71.76,78,40,11.5,-21.2,-175.2
42,Upernavik,34.88,95,100,6.82,72.7868,-56.1549
43,Albany,57.79,90,100,0.49,42.6001,-73.9662
44,Kalengwa,70.18,30,6,8.7,-13.4659,25.0027
45,Arak,83.16,18,0,9.22,34.0917,49.6892
46,Departamento de Maldonado,49.39,76,100,11.97,-34.6667,-54.9167
47,Dingle,81.46,80,100,2.55,10.9995,122.6711
48,Grindavik,41.34,60,20,19.57,63.8424,-22.4338
49,Srednekolymsk,62.74,30,2,7.74,67.45,153.6833
50,Fare,79.68,76,47,11.77,-16.7,-151.0167
51,Dikson,32.31,93,98,4.72,73.5069,80.5464
52,Castro,44.2,93,0,2.89,-24.7911,-50.0119
53,Soto la Marina,75.78,76,100,3.06,23.7667,-98.2167
54,Newport,60.42,82,100,3.69,51.5877,-2.9984
55,Sungai Penuh,73.96,84,70,2.44,-2.0833,101.3833
56,Nelson Bay,55.15,72,0,13.94,-32.7167,152.15
57,Avarua,71.65,68,20,5.75,-21.2078,-159.775
58,Trincomalee,91.89,51,95,20.2,8.5711,81.2335
59,Tuktoyaktuk,39.34,81,68,7.99,69.4541,-133.0374
60,Pinega,79.09,24,94,7.45,64.7001,43.3936
61,Saint-Philippe,77.38,78,66,14.41,-21.3585,55.7679
