,City,Temperature,Humidity,Cloudiness,Wind Speed,Lat,Lng
0,Petropavlovsk-Kamchatskiy,48.79,100,90,6.71,53.0452,158.6483
1,New Norfolk,55.89,78,86,1.88,-42.7826,147.0587
2,Yellowknife,59.52,67,20,8.05,62.456,-114.3525
3,Darnah,70.57,79,0,11.88,32.767,22.6367
4,Bluff,52.74,98,100,8.5,-46.6,168.3333
5,Cabo San Lucas,79.63,68,4,5.68,22.8909,-109.9124
6,Lorengau,85.44,69,9,10.96,-2.0226,147.2712
7,Puerto Ayora,73.54,90,52,10.0,-0.7393,-90.3518
8,Qaanaaq,27.64,84,86,3.83,77.484,-69.3632
9,Provideniya,37.96,96,100,13.24,64.3833,-173.3
10,Clyde River,32.23,93,90,17.27,70.4692,-68.5914
11,Ushuaia,38.86,87,75,26.46,-54.8,-68.3
12,Hobart,55.8,91,75,10.36,-42.8794,147.3294
13,Isangel,82.51,69,75,4.61,-19.55,169.2667
14,São Filipe,75.33,84,98,4.92,14.8961,-24.4956
15,Rikitea,75.88,76,18,6.78,-23.1203,-134.9692
16,Bokoro,80.04,63,100,20.8,12.3807,17.0568
17,Ust'-Omchug,70.5,28,3,2.24,61.15,149.6333
18,Thunder Bay,62.08,78,1,4.61,48.4001,-89.3168
19,Narsaq,44.82,88,92,3.74,60.9167,-46.05
20,Atuona,79.3,75,8,16.31,-9.8,-139.0333
21,Hay River,57.18,67,20,6.91,60.8156,-115.7999
22,Mataura,50.68,99,100,2.55,-46.1927,168.8643
23,Kavaratti,83.64,77,98,20.33,10.5669,72.642
24,Barcelona,74.19,58,0,3.0,41.3888,2.159
25,Robertsport,80.65,80,100,6.35,6.7533,-11.3686
26,Borkenes,46.0,98,99,11.01,68.774,16.1739
27,Tupiza,44.91,19,0,4.83,-21.45,-65.7167
28,Daokou,86.72,57,77,12.35,35.5639,114.5058
29,Kirakira,83.3,76,93,11.21,-10.4544,161.9205
30,Chumikan,47.5,64,18,9.46,54.7183,135.315
31,Jamestown,64.44,81,1,8.05,42.097,-79.2353
32,Upernavik,34.07,87,93,5.61,72.7868,-56.1549
33,Severo-Kuril'sk,47.79,90,47,16.15,50.6789,156.125
34,Tautira,82.42,80,8,12.5,-17.7333,-149.15
35,Butaritari,82.53,74,31,6.49,3.0707,172.7902
36,Taguatinga,77.67,45,99,1.77,-12.3857,-46.5711
37,Norman Wells,51.84,87,90,2.3,65.282,-126.8329
38,Lubao,87.78,65,99,7.14,14.9167,120.55
39,Mezen',70.65,38,62,9.35,65.8522,44.24
40,Santa Isabel Rio Negro,72.82,99,100,0.98,-0.4139,-65.0192
41,Coquimbo,56.93,82,90,3.44,-29.9533,-71.3436
42,Dikson,32.0,97,100,14.09,73.5069,80.5464
43,Olden,47.7,85,92,4.83,61.8364,6.8064
44,Tuktoyaktuk,41.0,93,90,14.97,69.4541,-133.0374
45,Klaksvík,45.52,96,100,17.4,62.2266,-6.589
46,Prince George,62.04,51,20,9.22,53.9166,-122.753
47,Northam,52.54,86,11,1.79,51.0333,-4.2167
48,Thompson,48.36,93,90,9.22,55.7435,-97.8558
49,Pozo Colorado,54.75,64,0,4.88,-23.4923,-58.7972
50,Kasempa,47.64,74,20,4.83,-13.4584,25.8338
51,Dudinka,42.82,66,29,5.12,69.4058,86.1778
52,Shimanovsk,79.36,34,40,4.74,52.0,127.7
53,Tikrit,81.57,24,0,15.84,34.6071,43.6782
54,Parkes,55.35,68,100,5.82,-33.1333,148.1833
55,Kaitangata,50.63,99,100,2.42,-46.2817,169.8464
56,George Town,85.96,74,20,7.0,5.4112,100.3354
57,Tigil',62.62,45,4,11.54,57.8,158.6667
58,Bom Jesus,77.0,43,97,1.1,-9.0744,-44.3586
59,Hermanus,53.91,63,0,3.65,-34.4187,19.2345
60,Poum,75.02,74,0,1.92,-20.2333,164.0167
61,Yenagoa,74.84,91,100,2.75,4.9247,6.2642
62,Busselton,61.7,57,43,5.12,-33.65,115.3333
63,Dillon,72.63,94,95,7.96,34.4166,-79.3712
64,Hithadhoo,82.13,74,17,9.62,-0.6,73.0833
65,Codrington,56.89,70,100,3.71,-38.2667,141.9667
66,Cape Town,53.31,93,75,13.8,-33.9258,18.4232
67,Moose Factory,42.78,65,40,2.3,51.2585,-80.6094
68,Khatanga,43.68,57,94,13.31,71.9667,102.5
69,Turan,91.38,52,40,4.61,16.0678,108.2208
70,Bocas del Toro,78.08,81,94,4.38,9.3333,-82.25
71,Tuzha,61.54,89,57,6.26,57.6062,47.936
72,Mount Isa,83.97,11,33,4.61,-20.7333,139.5
73,Kinkala,73.71,96,23,2.3,-4.3614,14.7644
74,Anadyr,44.01,70,40,13.0,64.75,177.4833
75,Shelburne,63.48,51,85,4.23,44.0787,-80.2041
76,Hammerfest,43.25,100,90,4.61,70.6634,23.6821
77,Ahipara,62.01,85,100,11.97,-35.1667,173.1667
78,Bowen,73.62,77,83,7.67,-20.0167,148.2333
79,Fandriana,56.32,97,99,0.76,-20.2333,47.3833
80,Castro,45.54,82,0,2.26,-24.7911,-50.0119
81,Emba,75.47,26,99,24.85,48.8264,58.1442
82,Bengkulu,84.38,68,83,4.21,-3.8004,102.2655
83,Kahului,78.84,68,1,23.02,20.8947,-156.47
84,Sola,86.67,62,75,5.75,-13.8833,167.55
85,Bamenda,63.46,93,100,0.74,5.9527,10.1582
86,Bredasdorp,52.92,94,2,5.75,-34.5322,20.0403
87,Denpasar,85.66,74,20,9.22,-8.65,115.2167
88,Fort Nelson,71.19,30,20,2.3,58.8053,-122.7002
89,Shipitsyno,64.58,74,11,8.19,61.2806,46.5208
90,Nikolskoye,61.3,72,77,6.33,59.7035,30.7861
91,Tambura,67.21,95,100,3.42,5.6,27.4667
92,Guerrero Negro,62.74,87,5,18.75,27.9769,-114.0611
93,Pontianak,87.78,70,40,6.91,-0.0333,109.3333
94,Ulladulla,62.35,48,75,0.89,-35.35,150.4667
95,Victor Harbor,58.46,82,71,4.61,-35.5667,138.6167
96,Souillac,73.78,68,20,14.97,-20.5167,57.5167
97,Ayan,47.46,70,100,9.24,56.45,138.1667
98,Tabou,77.92,86,74,5.28,4.423,-7.3528
99,Makat,82.31,35,11,7.18,47.6469,53.3463
100,Banda Aceh,86.25,66,78,7.49,5.5577,95.3222
101,Sarai,62.56,89,38,6.53,53.7458,41.0213
102,Rome,59.94,80,59,2.46,43.2128,-75.4557
103,Vaini,75.36,69,75,11.5,-21.2,-175.2
104,Saint-Pierre,69.33,71,0,5.75,-21.3393,55.4781
105,Kandrian,85.21,66,11,11.61,-6.2167,149.55
106,Mahébourg,73.69,68,20,14.97,-20.4081,57.7
107,Fairbanks,70.25,42,20,4.61,64.8378,-147.7164
108,Monrovia,74.97,84,88,3.0,6.3005,-10.7969
109,Rawson,52.47,48,98,3.65,-43.3002,-65.1023
110,East London,59.94,88,75,4.61,-33.0153,27.9116
111,Punta Arenas,39.31,87,20,9.22,-53.15,-70.9167
112,Lompoc,59.94,87,90,11.5,34.6391,-120.4579
113,Vaitape,79.38,79,29,12.26,-16.5167,-151.75
114,Tasiilaq,35.76,98,100,4.94,65.6145,-37.6368
115,Usinsk,71.69,39,64,19.17,65.9939,57.5281
116,Leningradskiy,38.19,84,49,11.45,69.3833,178.4167
117,Port Alfred,63.39,71,70,5.28,-33.5906,26.891
118,Harper,77.85,87,82,5.7,4.375,-7.7169
119,Hambantota,86.34,79,40,14.97,6.1241,81.1185
120,Udine,66.11,82,100,1.99,46.0619,13.2422
121,Mason City,67.19,40,1,6.91,43.1536,-93.201
122,Ponta do Sol,65.77,78,4,2.89,32.6667,-17.1
123,Laas,61.9,95,54,7.52,46.6166,10.7002
124,Priiskovyy,79.93,41,57,4.12,51.9333,116.6333
125,Katsuura,81.57,80,100,13.29,35.1333,140.3
126,Pevek,37.31,78,0,5.32,69.7008,170.3133
127,Yabrūd,60.46,34,0,2.24,33.9674,36.6574
128,Svetlaya,57.27,96,86,5.06,46.5389,138.3297
129,Provincia di Imperia,60.26,90,49,4.81,43.9667,7.7833
130,Hong Kong,86.61,82,100,1.01,22.2855,114.1577
131,Fortuna,68.0,73,90,6.91,40.5982,-124.1573
132,Calvinia,55.47,49,17,4.07,-31.4707,19.776
133,Cardinal,58.82,94,1,0.0,44.7834,-75.3826
134,Avarua,71.65,78,75,12.66,-21.2078,-159.775
135,Haines Junction,64.35,34,88,14.97,60.7522,-137.5108
